ask_threshold,deny_threshold,dataset,total_cases,accuracy,deny_recall,deny_precision,attack_intervention_rate,complete_false_negative_rate,normal_task_disruption_rate,overblocking_rate,macro_f1,combo_status,recommendation_score
35,60,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
35,60,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
20,65,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,65,benchmark_jsonl_external_fixed,473,96.62,98.3,98.58,98.86,1.14,6.78,8.06,93.73,robust_region,80.5553
20,65,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,65,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
25,65,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
25,65,benchmark_jsonl_external_fixed,473,96.62,98.3,98.58,98.86,1.14,6.78,8.06,93.73,robust_region,80.5553
25,65,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
25,65,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
30,65,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
30,65,benchmark_jsonl_external_fixed,473,96.62,98.3,98.58,98.86,1.14,6.78,8.06,93.73,robust_region,80.5553
30,65,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
30,65,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
35,65,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
35,65,benchmark_jsonl_external_fixed,473,96.62,98.3,98.58,98.86,1.14,6.78,8.06,93.73,robust_region,80.5553
35,65,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
35,65,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
20,70,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,70,benchmark_jsonl_external_fixed,473,95.98,97.44,98.56,98.86,1.14,6.78,8.06,92.88,robust_region,80.5553
20,70,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,70,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
25,70,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
25,70,benchmark_jsonl_external_fixed,473,95.98,97.44,98.56,98.86,1.14,6.78,8.06,92.88,robust_region,80.5553
25,70,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
25,70,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
30,70,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
30,70,benchmark_jsonl_external_fixed,473,95.98,97.44,98.56,98.86,1.14,6.78,8.06,92.88,robust_region,80.5553
30,70,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
30,70,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
35,70,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
35,70,benchmark_jsonl_external_fixed,473,95.98,97.44,98.56,98.86,1.14,6.78,8.06,92.88,robust_region,80.5553
35,70,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
35,70,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
20,75,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,75,benchmark_jsonl_external_fixed,473,95.77,97.16,98.56,98.86,1.14,6.78,8.06,92.6,robust_region,80.5553
20,75,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,75,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
25,75,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
25,75,benchmark_jsonl_external_fixed,473,95.77,97.16,98.56,98.86,1.14,6.78,8.06,92.6,robust_region,80.5553
25,75,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
25,75,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
30,75,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
30,75,benchmark_jsonl_external_fixed,473,95.77,97.16,98.56,98.86,1.14,6.78,8.06,92.6,robust_region,80.5553
30,75,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
30,75,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
35,75,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
35,75,benchmark_jsonl_external_fixed,473,95.77,97.16,98.56,98.86,1.14,6.78,8.06,92.6,robust_region,80.5553
35,75,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
35,75,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
