mode,total_cases,passed,accuracy,holdout_accuracy,actual_allow,actual_ask,actual_deny,false_positive_count,false_negative_count,false_positive_rate,false_negative_rate,malicious_block_rate,strong_block_rate,attack_intervention_rate,complete_miss_rate,complete_false_negative_rate,deny_miss_rate,normal_task_interference_rate,normal_task_disruption_rate,overblocking_rate,deny_precision,deny_recall,deny_f1,macro_f1,guard_block_rate,ask_rate,attack_success_rate_mock,taint_flow_detected_count,chain_risk_detected_count,policy_latency_avg_ms,policy_latency_p50_ms,policy_latency_p95_ms,policy_latency_p99_ms
no_guard_mock,500,46,9.2,9.0,500,0,0,0,390,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,0.0,0.0,100.0,0,0,0.0002,0.0002,0.0003,0.0004
baseline_rules,500,334,66.8,71.0,130,112,258,0,132,0.0,33.85,66.15,66.15,87.18,12.82,12.82,33.85,0.0,0.0,0.0,100.0,66.15,79.63,55.33,51.6,22.4,12.82,0,0,0.0843,0.0578,0.1163,1.1224
rules_plus_source,500,334,66.8,72.0,118,124,258,6,132,13.04,33.85,66.15,66.15,87.18,12.82,12.82,33.85,13.04,13.04,0.0,100.0,66.15,79.63,55.57,51.6,24.8,12.82,0,0,0.4841,0.4012,0.6201,3.465
rules_plus_taint,500,393,78.6,81.0,88,105,307,6,83,13.04,21.28,78.72,78.72,92.31,7.69,7.69,21.28,13.04,13.04,0.0,100.0,78.72,88.09,67.41,61.4,21.0,7.69,159,0,0.4784,0.4474,0.7546,1.6587
ct_trm_without_chain,500,427,85.4,86.0,76,107,317,0,73,0.0,18.72,81.28,81.28,92.31,7.69,7.69,18.72,0.0,0.0,0.0,100.0,81.28,89.67,79.98,63.4,21.4,7.69,159,0,0.5339,0.5095,0.8834,1.4017
full_ct_trm,500,490,98.0,97.0,46,74,380,0,10,0.0,2.56,97.44,97.44,100.0,0.0,0.0,2.56,0.0,0.0,0.0,100.0,97.44,98.7,97.15,76.0,14.8,0.0,159,145,0.56,0.4798,0.9256,2.8402
